Subject,Foot,Error_ms
subject4,Left,40.00
subject4,Left,40.00
subject4,Left,180.00
subject4,Left,320.00
subject4,Left,60.00
subject4,Left,20.00
subject4,Left,200.00
subject4,Left,400.00
subject4,Left,120.00
subject4,Left,0.00
subject4,Left,20.00
subject4,Left,1040.00
subject4,Left,80.00
subject4,Left,460.00
subject4,Left,40.00
subject4,Left,360.00
subject4,Left,420.00
subject4,Left,80.00
subject4,Left,500.00
subject4,Left,0.00
subject4,Left,120.00
subject4,Left,1140.00
subject4,Left,1140.00
subject4,Left,180.00
subject4,Left,160.00
subject4,Left,720.00
subject4,Left,100.00
subject4,Left,160.00
subject4,Left,40.00
subject4,Left,280.00
subject4,Left,100.00
subject4,Left,320.00
subject4,Left,1220.00
subject4,Left,1380.00
subject4,Left,2320.00
subject4,Left,180.00
subject4,Left,160.00
subject4,Left,40.00
subject4,Left,80.00
subject4,Left,160.00
subject4,Left,1160.00
subject4,Left,80.00
subject4,Left,500.00
subject4,Left,1460.00
subject4,Left,900.00
subject4,Left,20.00
subject4,Left,20.00
subject4,Left,40.00
subject4,Left,1840.00
subject4,Left,200.00
subject4,Left,1540.00
subject4,Left,200.00
subject4,Left,360.00
subject4,Left,60.00
subject4,Left,20.00
subject4,Left,60.00
subject4,Left,820.00
subject4,Left,480.00
subject4,Left,100.00
subject4,Left,20.00
subject4,Left,20.00
subject4,Left,940.00
subject4,Left,40.00
subject4,Left,220.00
subject4,Left,300.00
subject4,Left,40.00
subject4,Left,40.00
subject4,Left,60.00
subject4,Left,120.00
subject4,Left,140.00
subject4,Left,40.00
subject4,Left,60.00
subject4,Left,40.00
subject4,Left,120.00
subject4,Left,740.00
subject4,Left,20.00
subject4,Left,140.00
subject4,Left,140.00
subject4,Left,100.00
subject4,Left,20.00
subject4,Left,320.00
subject4,Left,20.00
subject4,Left,640.00
subject4,Left,100.00
subject4,Left,2800.00
subject4,Left,2660.00
subject4,Left,2700.00
subject4,Left,2800.00
subject4,Left,1240.00
subject4,Left,2220.00
subject4,Left,320.00
subject4,Left,140.00
subject4,Left,160.00
subject4,Left,880.00
subject4,Left,100.00
subject4,Left,660.00
subject4,Left,1360.00
subject4,Left,760.00
subject4,Left,40.00
subject4,Left,100.00
subject4,Left,660.00
subject4,Left,2040.00
subject4,Left,1980.00
subject4,Left,2060.00
subject4,Left,1480.00
subject4,Left,220.00
subject4,Left,540.00
subject4,Left,1340.00
subject4,Left,1500.00
subject4,Left,340.00
subject4,Left,40.00
subject4,Left,40.00
subject4,Left,120.00
subject4,Left,720.00
subject4,Left,340.00
subject4,Left,40.00
subject4,Left,40.00
subject4,Left,0.00
subject4,Left,40.00
subject4,Left,300.00
subject4,Left,160.00
subject4,Left,220.00
subject4,Left,100.00
subject4,Left,20.00
subject4,Left,40.00
subject4,Left,60.00
subject4,Left,340.00
subject4,Left,3800.00
subject4,Left,2000.00
subject4,Left,200.00
subject4,Left,180.00
subject4,Left,100.00
subject4,Left,120.00
subject4,Left,60.00
subject4,Left,260.00
subject4,Left,400.00
subject4,Left,480.00
subject4,Left,200.00
subject4,Left,540.00
subject4,Left,2000.00
subject4,Left,60.00
subject4,Left,200.00
subject4,Left,80.00
subject4,Left,0.00
subject4,Left,100.00
subject4,Left,120.00
subject4,Left,100.00
subject4,Left,640.00
subject4,Left,0.00
subject4,Left,580.00
subject4,Left,480.00
subject4,Left,660.00
subject4,Left,1520.00
subject4,Left,760.00
subject4,Left,40.00
subject4,Left,100.00
subject4,Left,120.00
subject4,Left,2020.00
subject4,Left,1300.00
subject4,Left,420.00
subject4,Left,1200.00
subject4,Left,1280.00
subject4,Left,760.00
subject4,Left,440.00
subject4,Left,160.00
subject4,Left,0.00
subject4,Left,140.00
subject4,Left,1020.00
subject4,Left,820.00
subject4,Left,100.00
subject4,Left,0.00
subject4,Left,160.00
subject4,Left,120.00
subject4,Left,60.00
subject4,Left,420.00
subject4,Left,1180.00
subject4,Left,40.00
subject4,Left,20.00
subject4,Left,60.00
subject4,Left,40.00
subject4,Left,60.00
subject4,Left,980.00
subject4,Left,1640.00
subject4,Left,360.00
subject4,Left,460.00
subject4,Left,140.00
subject4,Left,760.00
subject4,Left,40.00
subject4,Left,80.00
subject4,Left,600.00
subject4,Left,120.00
subject4,Left,160.00
subject4,Left,80.00
subject4,Left,0.00
subject4,Left,20.00
subject4,Left,140.00
subject4,Left,2820.00
subject4,Left,2800.00
subject4,Left,3080.00
subject4,Left,3100.00
subject4,Left,3080.00
subject4,Left,3180.00
subject4,Left,3180.00
subject4,Left,3160.00
subject4,Left,2780.00
subject4,Left,1060.00
subject4,Left,500.00
subject4,Left,120.00
subject4,Left,0.00
subject4,Left,640.00
subject4,Left,1600.00
subject4,Left,1020.00
subject4,Left,40.00
subject4,Left,60.00
subject4,Left,360.00
subject4,Left,1880.00
subject4,Left,700.00
subject4,Left,820.00
subject4,Left,60.00
subject4,Left,740.00
subject4,Left,480.00
subject4,Left,20.00
subject4,Left,60.00
subject4,Left,120.00
subject4,Left,1040.00
subject4,Left,400.00
subject4,Left,120.00
subject4,Left,80.00
subject4,Left,0.00
subject4,Left,220.00
subject4,Left,360.00
subject4,Left,60.00
subject4,Left,40.00
subject4,Left,0.00
subject4,Left,40.00
subject4,Left,60.00
subject4,Left,40.00
subject4,Left,180.00
subject4,Left,3980.00
subject4,Left,1980.00
subject4,Left,160.00
subject4,Left,140.00
subject4,Left,20.00
subject4,Left,140.00
subject4,Left,600.00
subject4,Left,120.00
subject4,Left,220.00
subject4,Left,160.00
subject4,Left,40.00
subject4,Left,160.00
subject4,Left,2960.00
subject4,Left,2980.00
subject4,Left,2760.00
subject4,Left,140.00
subject4,Left,120.00
subject4,Left,20.00
subject4,Left,460.00
subject4,Left,1200.00
subject4,Left,440.00
subject4,Left,40.00
subject4,Left,200.00
subject4,Left,180.00
subject4,Left,560.00
subject4,Left,260.00
subject4,Left,1460.00
subject4,Left,900.00
subject4,Left,60.00
subject4,Left,60.00
subject4,Left,1420.00
subject4,Left,1740.00
subject4,Left,2380.00
subject4,Left,2340.00
subject4,Left,300.00
subject4,Left,1320.00
subject4,Left,740.00
subject4,Left,420.00
subject4,Left,120.00
subject4,Left,20.00
subject4,Left,120.00
subject4,Left,80.00
subject4,Left,280.00
subject4,Left,60.00
subject4,Left,0.00
subject4,Left,180.00
subject4,Left,380.00
subject4,Left,40.00
subject4,Left,80.00
subject4,Left,0.00
subject4,Left,80.00
subject4,Left,80.00
